K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:
K00002	AKR1A1	alcohol dehydrogenase (NADP+) [EC:
K00003	E1.1.1.3	homoserine dehydrogenase [EC:
K00004	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:
K00005	gldA	glycerol dehydrogenase [EC:
K00006	GPD1L 	glycerol-3-phosphate dehydrogenase (NAD+) [EC:
K00007	dalD	D-arabinitol 4-dehydrogenase [EC:
K00008	SORD	L-iditol 2-dehydrogenase [EC:
K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase [EC:
K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:
K00011	AKR1B1 	aldehyde reductase [EC:
K00012	UGDH	UDPglucose 6-dehydrogenase [EC:
K00013	hisD	histidinol dehydrogenase [EC:
K00014	aroE	shikimate dehydrogenase [EC:
K00015	gyaR	glyoxylate reductase [EC:
K00016	LDHAL6A 	L-lactate dehydrogenase [EC:
K00018	hprA	glycerate dehydrogenase [EC:
K00019	BDH2 	3-hydroxybutyrate dehydrogenase [EC:
K00020	HIBADH	3-hydroxyisobutyrate dehydrogenase [EC:
K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:
K00022	HADH	3-hydroxyacyl-CoA dehydrogenase [EC:
K00023	phbB	acetoacetyl-CoA reductase [EC:
K00024	mdh	malate dehydrogenase [EC:
K00025	MDH1	malate dehydrogenase [EC:
K00026	MDH2	malate dehydrogenase [EC:
K00027	ME2	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:
K00028	E1.1.1.39	malate dehydrogenase (decarboxylating) [EC:
K00029	ME3 	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:
K00030	IDH3A 	isocitrate dehydrogenase (NAD+) [EC:
K00031	IDH1 	isocitrate dehydrogenase [EC:
K00032	E1.1.1.43	phosphogluconate 2-dehydrogenase [EC:
K00033	PGD	6-phosphogluconate dehydrogenase [EC:
K00034	gdh	glucose 1-dehydrogenase [EC:
K00035	gal	D-galactose 1-dehydrogenase [EC:
K00036	G6PD	glucose-6-phosphate 1-dehydrogenase [EC:
K00037	AKR1C4	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:
K00038	E1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:
K00039	rbtD	ribitol 2-dehydrogenase [EC:
K00040	uxuB	fructuronate reductase [EC:
K00041	uxaB	tagaturonate reductase [EC:
K00042	garR, glxR	2-hydroxy-3-oxopropionate reductase [EC:
K00043	gbd	4-hydroxybutyrate dehydrogenase [EC:
K00044	HSD17B1	17beta-estradiol 17-dehydrogenase [EC:
K00045	E1.1.1.67, mtlK	mannitol 2-dehydrogenase [EC:
K00046	idnO	gluconate 5-dehydrogenase [EC:
K00048	fucO	lactaldehyde reductase [EC:
K00049	GRHPR	glyoxylate/hydroxypyruvate reductase [EC:
K00050	ttuD	hydroxypyruvate reductase [EC:
K00051	E1.1.1.82	malate dehydrogenase (NADP+) [EC:
K00052	leuB, IMDH	3-isopropylmalate dehydrogenase [EC:
K00053	ilvC	ketol-acid reductoisomerase [EC:
K00054	mvaA	hydroxymethylglutaryl-CoA reductase [EC:
K00055	E1.1.1.90	aryl-alcohol dehydrogenase [EC:
K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:
K00058	PHGDH	D-3-phosphoglycerate dehydrogenase [EC:
K00059	fabG	3-oxoacyl-[acyl-carrier protein] reductase [EC:
K00060	tdh	threonine 3-dehydrogenase [EC:
K00061	RDH5	11-cis-retinol dehydrogenase [EC:
K00062	E1.1.1.116	D-arabinose 1-dehydrogenase [EC:
K00063	ARA1	D-arabinose 1-dehydrogenase [EC:
K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase [EC:
K00065	kduD	2-deoxy-D-gluconate 3-dehydrogenase [EC:
K00066	algD	GDP-mannose 6-dehydrogenase [EC:
K00067	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase [EC:
K00068	srlD	sorbitol-6-phosphate 2-dehydrogenase [EC:
K00069	HPGD	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:
K00070	HSD3B1 	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:
K00071	HSD11B2	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	SPR	sepiapterin reductase [EC:
K00073	allD	ureidoglycolate dehydrogenase (NAD+) [EC:
K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase [EC:
K00075	murB	UDP-N-acetylmuramate dehydrogenase [EC:
K00076	hdhA	7-alpha-hydroxysteroid dehydrogenase [EC:
K00077	panE, apbA	2-dehydropantoate 2-reductase [EC:
K00078	DHDH	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:
K00079	CBR1	carbonyl reductase 1 [EC:
K00081	CBR2	carbonyl reductase 2 [EC:
K00082	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:
K00083	E1.1.1.195	cinnamyl-alcohol dehydrogenase [EC:
K00084	CBR3	carbonyl reductase 3 [EC:
K00085	E1.1.1.200	aldose-6-phosphate reductase (NADPH2) [EC:
K00086	dhaT	1,3-propanediol dehydrogenase [EC:
K00087	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit [EC:
K00088	IMPDH1 	IMP dehydrogenase [EC:
K00089	AKR1C2	3alpha-hydroxysteroid 3-dehydrogenase [EC:
K00090	E1.1.1.215	gluconate 2-dehydrogenase [EC:
K00091	E1.1.1.219	dihydroflavonol-4-reductase [EC:
K00093	mdh	methanol dehydrogenase [EC:
K00094	E1.1.1.251, gatD	galactitol-1-phosphate 5-dehydrogenase [EC:
K00095	MTD	mannitol dehydrogenase [EC:
K00096	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:
K00097	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase [EC:
K00098	idnD	L-idonate 5-dehydrogenase [EC:
K00099	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:
K00100	bdhAB	butanol dehydrogenase [EC:1.1.1.-]
K00101	E1.1.2.3, lldD	L-lactate dehydrogenase (cytochrome) [EC:
K00102	LDHD	D-lactate dehydrogenase (cytochrome) [EC:
K00103	GULO	L-gulonolactone oxidase [EC:
K00104	glcD	glycolate oxidase [EC:
K00105	E1.1.3.21	alpha-glycerophosphate oxidase [EC:
K00106	XDH	xanthine dehydrogenase/oxidase [EC:
K00107	ALO	D-arabinono-1,4-lactone oxidase [EC:
K00108	CHDH	choline dehydrogenase [EC:
K00109	L2HGDH	2-hydroxyglutarate dehydrogenase [EC:
K00111	GPD2	glycerol-3-phosphate dehydrogenase [EC:
K00112	glpB	glycerol-3-phosphate dehydrogenase subunit B [EC:
K00113	glpC	glycerol-3-phosphate dehydrogenase subunit C [EC:
K00114	exaA	alcohol dehydrogenase (cytochrome c) [EC:
K00115	GLD	glucose 1-dehydrogenase (FAD, quinone) [EC:
K00116	mqo	malate dehydrogenase (quinone) [EC:
K00117	gcd	quinoprotein glucose dehydrogenase [EC:
K00118	gfo	glucose-fructose oxidoreductase [EC:
K00121	ADH5	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:
K00122	FDH	formate dehydrogenase [EC:
K00123	fdoG, fdfH	formate dehydrogenase major subunit [EC:
K00124	fdoH	formate dehydrogenase iron-sulfur subunit
K00125	E1.2.1.2B2	formate dehydrogenase, beta subunit [EC:
K00126	fdsD	formate dehydrogenase subunit delta [EC:
K00127	fdoI	formate dehydrogenase subunit gamma
K00128	ALDH2 	aldehyde dehydrogenase (NAD+) [EC:
K00129	ALDH3A1 	aldehyde dehydrogenase (NAD(P)+) [EC:
K00130	betB, gbsA	betaine-aldehyde dehydrogenase [EC:
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:
K00132	E1.2.1.10	acetaldehyde dehydrogenase (acetylating) [EC:
K00133	asd	aspartate-semialdehyde dehydrogenase [EC:
K00134	GAPDH	glyceraldehyde 3-phosphate dehydrogenase [EC:
K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:
K00137	prr	aminobutyraldehyde dehydrogenase [EC:
K00138	aldB	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	ALDH5A1	succinate-semialdehyde dehydrogenase [EC:
K00140	ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:
K00141	xylC	benzaldehyde dehydrogenase (NAD) [EC:
K00142	AASDH	acyl-CoA synthetase [EC:6.2.1.-]
K00143	LYS2	L-aminoadipate-semialdehyde dehydrogenase [EC:
K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase [EC:
K00146	feaB	phenylacetaldehyde dehydrogenase [EC:
K00147	proA	glutamate-5-semialdehyde dehydrogenase [EC:
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase [EC:
K00149	ALDH9A1	aldehyde dehydrogenase family 9 member A1 [EC:
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:
K00151	hpaE, hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:
K00152	nahF	salicylaldehyde dehydrogenase [EC:
K00153	E1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase [EC:
K00154	E1.2.1.68	coniferyl-aldehyde dehydrogenase [EC:
K00156	poxB	pyruvate dehydrogenase (quinone) [EC:
K00157	AOX1	aldehyde oxidase [EC:
K00158	E1.2.3.3, poxL	pyruvate oxidase [EC:
K00161	PDHA1 	pyruvate dehydrogenase E1 component alpha subunit [EC:
K00162	PDHB	pyruvate dehydrogenase E1 component beta subunit [EC:
K00163	aceE	pyruvate dehydrogenase E1 component [EC:
K00164	OGDH 	2-oxoglutarate dehydrogenase E1 component [EC:
K00166	BCKDHA	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:
K00167	BCKDHB	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit [EC:
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit [EC:
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit [EC:
K00172	porG	pyruvate ferredoxin oxidoreductase gamma subunit [EC:
K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:
K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:
K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:
K00179	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:
K00180	iorB	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:
K00181	PORCN	O-palmitoleoyl transferase [EC:
K00182	WNT2 	wingless-type MMTV integration site family, member 2
K00183	K00183	prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit
K00184	K00184	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit
K00185	K00185	prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit
K00186	vorA	2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:
K00187	vorB	2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:
K00188	vorD	2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:
K00189	vorG	2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:
K00192	cdhA	acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:
K00193	cdhC	acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]
K00194	cdhD, acsD	acetyl-CoA decarbonylase/synthase complex subunit delta [EC:
K00195	cdhB	acetyl-CoA decarbonylase/synthase complex subunit epsilon
K00196	cooF	carbon-monoxide dehydrogenase iron sulfur subunit
K00197	cdhE, acsC	acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:
K00198	cooS, acsA	carbon-monoxide dehydrogenase catalytic subunit [EC:
K00200	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A [EC:
K00201	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B [EC:
K00202	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C [EC:
K00203	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D [EC:
K00204	fwdH	4Fe-4S ferredoxin
K00205	fwdF, fmdF	4Fe-4S ferredoxin
K00207	DPYD	dihydropyrimidine dehydrogenase (NADP+) [EC:
K00208	fabI	enoyl-[acyl-carrier protein] reductase I [EC:
K00209	fabV, ter	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:
K00210	E1.3.1.12	prephenate dehydrogenase [EC:
K00211	TYR1	prephenate dehydrogenase (NADP+) [EC:
K00212	AKR1C1	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:
K00213	DHCR7	7-dehydrocholesterol reductase [EC:
K00214	BLVRA	biliverdin reductase [EC:
K00215	dapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:
K00216	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:
K00217	E1.3.1.32	maleylacetate reductase [EC:
K00218	por	protochlorophyllide reductase [EC:
K00219	fadH	2,4-dienoyl-CoA reductase (NADPH2) [EC:
K00220	tyrC	cyclohexadieny/prephenate dehydrogenase [EC:
K00221	E4.99.1.2	alkylmercury lyase [EC:
K00222	TM7SF2	Delta14-sterol reductase [EC:
K00223	ERG4	Delta24(24(1))-sterol reductase [EC:
K00225	GLDH	L-galactono-1,4-lactone dehydrogenase [EC:
K00226	pyrD	dihydroorotate dehydrogenase (fumarate) [EC:
K00227	SC5D	Delta7-sterol 5-desaturase [EC:
K00228	CPOX	coproporphyrinogen III oxidase [EC:
K00230	hemG	menaquinone-dependent protoporphyrinogen oxidase [EC:
K00231	PPOX	protoporphyrinogen/coproporphyrinogen III oxidase [EC:
K00232	ACOX1 	acyl-CoA oxidase [EC:
K00234	SDHA	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:
K00235	SDHB	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:
K00236	SDHC	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	SDHD	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:
K00240	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:
K00241	sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	sdhD, frdD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00243	K00243	uncharacterized protein
K00244	frdA	fumarate reductase flavoprotein subunit [EC:
K00245	frdB	fumarate reductase iron-sulfur subunit [EC:
K00246	frdC	fumarate reductase subunit C
K00247	frdD	fumarate reductase subunit D
K00248	ACADS	butyryl-CoA dehydrogenase [EC:
K00249	ACADM	acyl-CoA dehydrogenase [EC:
K00251	AKR1D1	3-oxo-5-beta-steroid 4-dehydrogenase [EC:
K00252	GCDH	glutaryl-CoA dehydrogenase [EC:
K00253	IVD	isovaleryl-CoA dehydrogenase [EC:
K00254	DHODH	dihydroorotate dehydrogenase [EC:
K00255	ACADL	long-chain-acyl-CoA dehydrogenase [EC:
K00256	E1.3.99.16	isoquinoline 1-oxidoreductase [EC:
K00257	E1.3.99.-	NA
K00259	ald	alanine dehydrogenase [EC:
K00260	gudB, rocG	glutamate dehydrogenase [EC:
K00261	GLUD1 	glutamate dehydrogenase (NAD(P)+) [EC:
K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+) [EC:
K00263	E1.4.1.9	leucine dehydrogenase [EC:
K00264	GLT1	glutamate synthase (NADPH/NADH) [EC:
K00265	gltB	glutamate synthase (NADPH/NADH) large chain [EC:
K00266	gltD	glutamate synthase (NADPH/NADH) small chain [EC:
K00270	pdh	phenylalanine dehydrogenase [EC:
K00271	vdh	valine dehydrogenase (NAD+) [EC:
K00272	DDO	D-aspartate oxidase [EC:
K00273	DAO	D-amino-acid oxidase [EC:
K00274	MAOA 	monoamine oxidase [EC:
K00275	PNPO	pyridoxamine 5'-phosphate oxidase [EC:
K00276	AOC2 	primary-amine oxidase [EC:
K00277	LOX	protein-lysine 6-oxidase [EC:
K00278	nadB	L-aspartate oxidase [EC:
K00279	CKX	cytokinin dehydrogenase [EC:
K00280	LOXL2 	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00281	GLDC	glycine dehydrogenase [EC:
K00282	gcvPA	glycine dehydrogenase subunit 1 [EC:
K00283	gcvPB	glycine dehydrogenase subunit 2 [EC:
K00284	E1.4.7.1	glutamate synthase (ferredoxin) [EC:
K00285	dadA	D-amino-acid dehydrogenase [EC:
K00286	PYCR2 	pyrroline-5-carboxylate reductase [EC:
K00287	DHFR 	dihydrofolate reductase [EC:
K00288	MTHFD1	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:
K00289	ALDH1L1 	formyltetrahydrofolate dehydrogenase [EC:
K00290	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:
K00293	LYS9	saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:
K00294	ALDH4A1	1-pyrroline-5-carboxylate dehydrogenase [EC:
K00295	MTD1	methylenetetrahydrofolate dehydrogenase (NAD+) [EC:
K00296	E1.5.1.19	D-nopaline dehydrogenase [EC:
K00297	MTHFR	methylenetetrahydrofolate reductase (NADPH) [EC:
K00298	ceo	N5-(carboxyethyl)ornithine synthase [EC:
K00299	ssuE	FMN reductase [EC:
K00301	E1.5.3.1	sarcosine oxidase [EC:
K00302	soxA	sarcosine oxidase, subunit alpha [EC:
K00303	soxB	sarcosine oxidase, subunit beta [EC:
K00304	soxD	sarcosine oxidase, subunit delta [EC:
K00305	soxG	sarcosine oxidase, subunit gamma [EC:
K00306	PIPOX	sarcosine oxidase / L-pipecolate oxidase [EC:
K00307	BBE1	reticuline oxidase [EC:
K00308	PAOX	N1-acetylpolyamine oxidase [EC:
K00310	SE	pyrimidodiazepine synthase [EC:
K00311	ETFDH	electron-transferring-flavoprotein dehydrogenase [EC:
K00312	WNT3 	wingless-type MMTV integration site family, member 3
K00313	fixC	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K00314	SARDH	sarcosine dehydrogenase [EC:
K00315	DMGDH	dimethylglycine dehydrogenase [EC:
K00316	spdH	spermidine dehydrogenase [EC:
K00317	dmd-tmd	dimethylamine/trimethylamine dehydrogenase [EC:
K00318	 	proline dehydrogenase [EC:1.5.-.-]
K00319	mtd	methylenetetrahydromethanopterin dehydrogenase [EC:
K00320	mer	5,10-methylenetetrahydromethanopterin reductase [EC:
K00322	sthA, udhA	NAD(P) transhydrogenase [EC:
K00323	NNT	NAD(P) transhydrogenase [EC:
K00324	pntA	NAD(P) transhydrogenase subunit alpha [EC:
K00325	pntB	NAD(P) transhydrogenase subunit beta [EC:
K00326	CYB5R3 	cytochrome-b5 reductase [EC:
K00327	POR	NADPH-ferrihemoprotein reductase [EC:
K00329	E1.6.5.3	NADH dehydrogenase [EC:
K00330	nuoA	NADH-quinone oxidoreductase subunit A [EC:
K00331	nuoB	NADH-quinone oxidoreductase subunit B [EC:
K00332	nuoC	NADH-quinone oxidoreductase subunit C [EC:
K00333	nuoD	NADH-quinone oxidoreductase subunit D [EC:
K00334	nuoE	NADH-quinone oxidoreductase subunit E [EC:
K00335	nuoF	NADH-quinone oxidoreductase subunit F [EC:
K00336	nuoG	NADH-quinone oxidoreductase subunit G [EC:
K00337	nuoH	NADH-quinone oxidoreductase subunit H [EC:
K00338	nuoI	NADH-quinone oxidoreductase subunit I [EC:
